ID	E_pub	dE_pub	E_calc	dE_calc	DistPlateBoundary
302	59	7	63.967819	7.13085	884590
303	7	1	7.588997	0.85497	864697
304	131	16	143.941086	16.305873	967729
305	122	15	134.550735	14.764272	973293
306	124	15	136.490189	15.90364	973293
307	123	15	134.160141	15.129591	965194
308	161	19	178.338486	20.652696	966282
309	239	29	263.160645	31.471527	989950
310	150	18	163.899323	18.314183	991413
311	366	43	407.080658	48.397243	991413
312	118	14	129.573334	14.614065	966282
313	152	18	167.782562	18.402448	966282
314	75	9	82.150551	8.812186	956347
315	196	23	218.210312	24.245166	968762
316	254	30	279.605408	33.168006	968762
317	167	20	185.175842	21.783147	958854
318	65	8	71.055901	7.986035	947629
319	73	9	79.938583	8.795311	947629
320	50	6	54.038086	5.823902	936483
321	40	5	42.989182	4.938607	936483
322	61	7	66.45858	7.590673	936483
323	21	3	22.033152	2.420941	948314
324	40	5	42.915718	4.85367	904489
325	32	4	34.241032	3.906356	904489
326	30	4	31.768797	3.662983	904489
327	102	12	111.461708	12.159488	885664
328	107	20	161.248352	19.499353	10000
329	68	13	109.841362	14.975766	10000
330	101	19	150.236496	18.343682	10000
331	72	14	104.291748	12.74323	10000
332	103	20	153.236206	18.91351	10000
333	80	17	118.168777	17.856088	10000
334	438	88	640.810486	85.06537	60000
335	184	40	273.951385	39.972037	70000
336	138	28	203.59816	27.22041	70000
337	225	44	333.604218	39.682519	70000
394	13.53	0	27.145452	3.127792	3638160
395	14.09	0	18.331568	2.088682	3646510
396	19.13	0	25.189735	2.805058	3632590
397	34.08	0	44.694782	4.98443	3632590
398	11.1	0	13.888983	1.538579	3614480
399	7.69	0	9.352782	1.1423	3596940
400	18.92	0	24.190649	2.751465	3618580
401	13.26	0	16.590454	1.885173	3558790
402	16.41	0	20.792923	2.292807	3558790
403	19.37	0	24.222248	2.726861	3486100
404	9.31	0	11.163513	1.257438	3522300
405	9.1	0	10.835964	1.21462	3497940
406	13.71	0	17.689392	2.009058	3657720
407	18.17	0	24.409676	2.788172	3669610
408	10.98	0	14.12517	1.584782	3682850
409	9.67	0	12.163133	1.396357	3709370
410	19.44	0	26.068844	2.860057	3673960
411	17.53	0	22.208111	2.389066	3660740
412	28.55	0	36.78941	4.250507	3641240
413	66.2	0	87.816078	11.131079	3660120
414	57.4	0	75.448288	12.980495	3618890
415	39.68	0	51.079636	6.832191	3626040
416	70.64	0	92.754379	21.423628	3633240
417	68.72	0	89.820107	16.096926	3633240
418	88.29	0	118.242851	18.066939	3674470
419	73.54	0	99.303772	11.606729	3718090
420	25.23	0	32.339687	4.179917	3528990
421	21.6	0	27.36779	3.116959	3531360
422	53.62	0	70.446266	9.132193	3531360
423	32.7	0	42.19265	5.159107	3536170
424	31.09	0	39.458549	4.645868	3548310
425	18.49	0	23.049088	2.605004	3511940
426	22.11	0	27.885838	3.125608	3521650
427	34.67	0	44.839497	5.321497	3521650
428	14.59	0	17.908932	1.989909	3519280
429	39.47	0	50.978394	6.467585	3536170
430	8.95	0	10.694057	1.202643	3553170
431	13.87	0	17.042543	1.872497	3553170
432	37.93	0	49.767109	6.041975	3550790
433	18.55	0	23.362259	2.609617	3550790
434	11.08	0	13.286408	1.490611	3526660
435	14.53	0	17.778122	1.96632	3526660
436	12.67	0	15.458164	1.759278	3546110
437	12.35	0	15.139056	1.662415	3546110
438	20.87	0	26.236267	2.990047	3567880
439	33.21	0	42.718788	5.06002	3567880
440	20.58	0	25.611412	2.931308	3555840
441	6.63	0	7.608758	0.886431	3555840
442	9.94	0	11.787401	1.274692	3565570
443	9.92	0	12.425391	1.487263	3597070
444	23.43	0	29.793222	3.398355	3604510
445	17	0	21.255453	2.281181	3604510
446	9	0	10.751563	1.199397	3602250
447	13.91	0	17.171343	1.852261	3623990
448	6.62	0	7.640541	0.81664	3609760
449	11.43	0	14.592195	1.646298	3665210
450	15.26	0	19.715673	2.359328	3665210
451	6.61	0	8.020252	0.886967	3648780
452	8.54	0	10.195137	1.083954	3650000
453	15.58	0	20.44898	2.370886	3634680
454	18.69	0	24.828125	2.741032	3632550
455	3.89	0	4.421551	0.499177	3575320
456	11.26	0	13.883212	1.503777	3579460
457	14.74	0	18.503996	2.129619	3579460
458	23.04	0	29.354935	3.252117	3565530
459	7.4	0	8.739686	0.980104	3534120
460	9.71	0	11.639375	1.307209	3534120
461	9.3	0	11.388148	1.237622	3516600
462	5.41	0	6.114061	0.686918	3564170
463	7.1	0	8.180443	0.92089	3564170
464	17.11	0	21.316437	2.495707	3595620
465	14.3	0	17.505592	1.89789	3588050
466	28.88	0	37.034058	4.390534	3590260
467	20.68	0	26.268677	2.943909	3590260
468	20.48	0	26.588188	3.092253	3570770
469	8.95	0	11.263037	1.280371	3668690
470	5.46	0	6.530811	0.746375	3668690
471	5.58	0	6.677148	0.789185	3668690
472	11.45	0	14.66701	1.600086	3682460
473	8.41	0	10.424505	1.1919	3673960
474	8.7	0	10.843533	1.240035	3673960
475	9.74	0	12.169823	1.37234	3656360
476	12.18	0	15.641829	1.66346	3654930
477	9.19	0	11.470036	1.265574	3660190
478	8.55	0	10.450431	1.180582	3643130
479	9.67	0	12.02955	1.345489	3643130
480	8.44	0	10.497778	1.167563	3656360
481	9.63	0	12.319528	1.376556	3673760
503	150	20	155.635803	27.375327	100000
504	130	18	133.965805	20.686315	100000
505	160	21	170.01503	23.278301	100000
506	160	21	168.599762	23.683861	100000
507	350	54	346.901001	59.777447	94339.8
508	910	12	959.169495	151.391131	100000
509	220	24	214.144577	27.037013	100000
510	270	61	266.001801	70.380269	100000
511	210	29	207.004974	30.772433	100000
512	250	39	249.182983	47.058166	100000
513	620	11	603.745239	121.400581	94339.8
514	290	41	279.261536	45.144946	94339.8
515	290	41	282.726013	44.425086	94339.8
540	370	60	376.83905	41.449422	90000
541	210	30	212.682236	23.283528	90000
542	160	30	168.66066	18.47007	90000
543	270	40	262.040283	29.204011	100000
544	380	70	370.379242	43.430453	100000
545	340	70	324.686737	38.633925	100000
546	790	200	769.295593	102.424572	100000
551	2200	500	2428.679688	526.778993	94339.8
552	2700	500	3428.604492	767.290317	94339.8
553	1300	200	1460.716064	229.151493	94339.8
554	1200	200	1284.580078	187.713041	94339.8
555	1100	200	1425.525879	226.824654	94339.8
556	230	30	248.160675	34.813654	94339.8
557	1200	200	1315.721558	225.140109	100000
558	660	80	710.582153	100.733665	100000
559	520	60	573.441956	75.305983	100000
560	170	20	187.841782	23.340592	106301
561	1600	300	1655.642578	324.404458	92195.4
562	230	20	249.784622	29.335406	100000
563	280	30	308.138428	35.739528	100000
564	100	10	110.196274	13.710781	116619
565	89	10	94.916161	11.974571	108167
566	150	20	163.682449	19.181931	106301
567	97	9	105.146683	12.370822	98488.6
568	71	7	76.006592	9.381085	98488.6
569	129	15	138.689438	18.006044	116619
570	52	5	57.281975	6.697079	102956
634	270	28	217.09584	24.322713	94339.8
635	560	60	660.427124	81.756501	100000
704	16.85	0.88	18.306543	2.16353	977395
705	26.8	1.3	28.990498	3.33255	977395
706	14.2	0.85	15.225872	1.90474	977395
707	9.2	0.5	9.865098	1.174111	977395
708	19.8	1.1	20.073692	2.390148	977395
709	23.5	1	25.675203	2.885033	977395
710	27.7	1.4	30.024141	3.568015	977395
711	34.8	2	37.699432	4.468236	977395
712	9.73	0.36	10.469381	1.1799	986813
713	29.6	2.4	32.086502	4.36506	986813
714	242	36	270.986725	48.710054	356931
715	137	11	154.253098	20.425506	350000
716	71.1	6	75.39418	10.292353	350000
717	377	94	420.281006	118.726522	347131
718	86.1	4.2	89.276878	10.423033	344819
719	630	100	707.647888	136.320142	347131
720	97	12	107.250145	17.509522	350000
721	434	95	466.907959	115.854292	350000
722	131	24	145.207886	30.927486	347131
723	233	16	259.698242	32.691147	356931
724	159.4	8.6	177.088226	21.173814	349285
725	58.4	7	64.764786	10.407351	347131
726	340	55	379.06897	74.657761	347131
727	256	34	282.165894	47.619515	347131
802	70	10	71.810295	7.976716	981529
803	70	10	67.621376	7.523685	975807
804	100	10	95.095261	10.85372	975807
805	140	10	134.269882	14.87059	975807
806	80	10	77.873589	8.493727	968762
807	120	10	113.079323	12.356158	968762
808	80	10	72.831062	8.032734	968762
809	110	10	102.417091	11.378803	961665
810	170	10	195.309402	26.01561	947945
811	460	60	522.484619	94.440092	947945
812	460	30	568.16925	70.86112	947945
813	790	70	851.526367	108.212953	941116
814	170	10	182.959427	19.890965	933809
815	170	10	186.07341	21.003064	933809
816	100	10	110.973373	12.637708	933809
817	109	27	144.340073	32.315168	53851.6
818	119	36	157.68042	42.919979	53851.6
819	84	16	111.430885	20.171163	53851.6
820	35	37	45.398262	47.834828	50000
821	135	33	180.794022	40.578954	53851.6
822	246	117	332.951965	146.584286	50000
823	253	54	337.480743	66.717381	53851.6
824	424	37	562.682678	63.392692	50000
825	279	23	371.170898	40.762228	50000
826	826	79	989.182251	111.828264	64031.2
827	1010	108	1223.992554	145.531808	56568.5
828	436	50	521.913025	63.97141	64031.2
829	314	45	363.610504	51.331159	50000
830	265	32	3863.558838	3470.965189	50000
831	108	10	120.157326	13.575834	58309.5
832	151	16	192.402328	23.183515	58309.5
833	465	61	526.451904	68.252604	44721.4
834	591	71	692.811035	90.169082	44721.4
835	736	99	882.403137	119.922892	44721.4
836	42	6	44.657574	6.194057	58309.5
837	49	16	52.792103	15.566539	58309.5
838	73	8	78.587494	9.752167	58309.5
839	98	17	107.765175	17.259387	58309.5
840	106	10	117.496368	13.562809	58309.5
841	144	13	155.227066	17.450228	64031.2
842	591	84	674.864136	95.050688	56568.5
843	428	85	497.149872	88.893962	56568.5
844	189	21	230.47612	28.449614	50000
845	292	37	329.312866	43.487953	50000
846	323	51	424.84436	63.478445	50000
847	434	150	462.637482	148.447357	64031.2
848	79	8	82.969398	9.652466	64031.2
849	1106	204	1194.985474	198.809548	64031.2
850	1039	175	1127.697876	183.46166	64031.2
851	717	106	777.332703	111.270789	64031.2
852	1006	191	1103.234741	194.951882	64031.2
853	279	52	313.016296	55.228972	56568.5
854	218	25	244.099533	30.830614	56568.5
855	617	115	715.412964	126.195108	58309.5
856	110	13	126.192596	15.603767	58309.5
857	277	91	347.750549	107.355057	56568.5
858	265	40	320.438019	47.818614	56568.5
859	119	11	137.508163	15.71989	58309.5
860	78	8	82.978111	9.766101	58309.5
861	605	70	706.825928	85.138047	53851.6
862	118	12	125.427795	14.563882	64031.2
863	87	9	87.530548	9.937251	64031.2
864	492	137	690.817261	179.644219	53851.6
